# source=Generated from data/ammo/ JSON + validate_and_clean_tsv.py
model	bullet_diameter_mm	projectile_mass_g	bc_g1	bc_g7	drag_model
40mmyellow	40.0	230.0	0	0	1
40mmyellowinstant	40.0	230.0	0	0	1
40x311	0.4	10.0	0	0.2	7
45acp	11.43	14.9	0.155	0	1
50mmpzgr39ap	12.7	41.9	0	0.67	7
50mmpzgr39appenetrator	12.7	41.9	0	0.67	7
50mmpzgr40apcr	12.7	41.9	0	0.67	7
50mmpzgr40apcrpenetrator	12.7	41.9	0	0.67	7
50mmsprgr38he	12.7	41.9	0	0.67	7
556m193	5.56	4.0	0.151	0	1
556m193ammo	5.56	4.0	0.151	0	1
556ss109	5.56	4.0	0.151	0	1
556ss109ammo	5.56	4.0	0.151	0	1
556x45	5.56	4.0	0.151	0	1
556x45ballm995ap	5.69	4.5359237	0	0.31	1
556x45ballmk262	5.69	4.9896	0	0.184	1
556x45ballmk318	5.69	4.0176	0	0.307	1
556x45m193	5.56	3.6	0	0.126	7
556x45m855a1ball	5.69	4.02	0	0.152	7
560x15	5.6	10.0	0	0.2	7
57mmm70ap	5.7	2.0	0.13	0	1
57mmm70appenetrator	5.7	2.0	0.13	0	1
57mmm86apcbc	5.7	2.0	0.13	0	1
57mmm86apcbcpenetrator	5.7	2.0	0.13	0	1
580x42dbp88ball	5.8	5.0	0	0.21	7
65creedmorball	6.706	9.072	0	0.317	7
65grendel	6.5	7.8	0	0.245	7
65x39caselessgreentracerdim	6.706	7.9704	0	0.263	7
65x39caselesstracerdim	6.706	7.9704	0	0.263	7
65x39fmj	6.5	7.9	0	0.196	7
65x47ballscenar	6.706	9.0072	0	0.29	7
67mmheatdm22a1g3	12.7	41.9	0	0.67	7
680x51ball	7.04	8.75	0	0.206	7
75x435	7.62	9.5	0.15	0	1
75x54	7.5	9.5	0	0.2	7
762cv43ammo	7.92	7.97	0.275	0	1
762cv43bammo	7.92	7.97	0.275	0	1
762cv52ammo	7.92	7.97	0.275	0	1
762cv52bammo	7.92	7.97	0.275	0	1
762cv59ammo	7.92	7.97	0.275	0	1
762cv68ammo	7.92	7.97	0.275	0	1
762m61	7.62	9.5	0.15	0	1
762odst59ammo	7.92	7.97	0.275	0	1
762pi52ammo	7.92	7.97	0.275	0	1
762picv52ammo	7.92	7.97	0.275	0	1
762pisv52ammo	7.92	7.97	0.275	0	1
762pz43ammo	7.92	7.97	0.275	0	1
762pz43bammo	7.92	7.97	0.275	0	1
762pz52ammo	7.92	7.97	0.275	0	1
762pz52bammo	7.92	7.97	0.275	0	1
762pz59ammo	7.92	7.97	0.275	0	1
762sv43ammo	7.92	7.97	0.275	0	1
762sv43bammo	7.92	7.97	0.275	0	1
762sv52ammo	7.92	7.97	0.275	0	1
762sv52bammo	7.92	7.97	0.275	0	1
762sv59ammo	7.92	7.97	0.275	0	1
762sv68ammo	7.92	7.97	0.275	0	1
762t65e3	6.5	8.0	0	0.26	7
762tz59ammo	7.92	7.97	0.275	0	1
762tzodst59ammo	7.92	7.97	0.275	0	1
762vz43ammo	7.92	7.97	0.275	0	1
762vz43bammo	7.92	7.97	0.275	0	1
762vz52ammo	7.92	7.97	0.275	0	1
762vz52bammo	7.62	9.5	0.15	0	1
762vz59ammo	7.92	7.97	0.275	0	1
762vz68ammo	7.92	7.97	0.275	0	1
762x25	7.62	9.5	0	0.15	7
762x33	7.62	9.5	0.15	0	1
762x38	7.62	9.5	0.15	0	1
762x39	7.62	9.5	0	0.2	7
762x51	7.62	9.5	0	0.2	7
762x51ap	7.62	9.5	0	0.2	7
762x51ballm118lr	7.823	11.34	0	0.243	7
762x51ballm993ap	7.823	8.22946157	0	0.359	1
762x51ballmk316mod0	7.823	11.34	0	0.243	7
762x51ballmk319mod0	7.823	8.424	0	0.377	1
762x51ballsubsonic	7.823	12.96	0	0.235	7
762x51i	7.62	9.5	0	0.2	7
762x51m134	7.62	9.5	0	0.2	7
762x51m134x2	7.62	9.5	0	0.2	7
762x51m61	7.62	10.0	0	0.218	7
762x51m80a1eprball	7.823	8.42	0	0.185	7
762x51x2	7.62	9.5	0	0.2	7
762x51x4	7.62	9.5	0	0.2	7
762x54	7.62	9.5	0	0.2	7
762x54ball7t2	7.925	9.6552	0	0.395	1
762x54x2	7.62	9.5	0	0.2	7
762x54x4	7.62	9.5	0	0.2	7
762x63	7.62	9.5	0.15	0	1
762x63x2	7.62	9.5	0.15	0	1
762x67ballbergerhybridotm	7.823	14.904	0	0.368	7
762x67ballmk248mod0	7.823	12.312	0	0.268	7
762x67ballmk248mod1	7.823	14.256	0	0.31	7
765pi27ammo	7.92	7.97	0.275	0	1
765picv27ammo	7.92	7.97	0.275	0	1
765x17	7.65	6.0	0	0.19	7
765x17t64	7.65	6.0	0	0.19	7
76mmm1m42he	5.56	4.0	0.151	0	1
76mmm1m62aphe	5.56	4.0	0.151	0	1
76mmm1m62aphepenetrator	5.56	4.0	0.151	0	1
76mmm1m79ap	5.56	4.0	0.151	0	1
76mmm1m79appenetrator	5.56	4.0	0.151	0	1
76mmm1m93apcr	5.56	4.0	0.151	0	1
76mmm1m93apcrpenetrator	5.56	4.0	0.151	0	1
76mmm7m42he	5.56	4.0	0.151	0	1
76mmm7m62aphe	5.56	4.0	0.151	0	1
76mmm7m62aphepenetrator	5.56	4.0	0.151	0	1
76mmm7m79ap	5.56	4.0	0.151	0	1
76mmm7m79appenetrator	5.56	4.0	0.151	0	1
76mmm7m93apcr	5.56	4.0	0.151	0	1
76mmm7m93apcrpenetrator	5.56	4.0	0.151	0	1
76mmm89smk	5.56	4.0	0.151	0	1
76mmm89smksubmunition	6.0	6.0	0	0.2	7
77x56	0.77	10.0	0	0.2	7
77x58	0.77	10.0	0	0.2	7
792x33	7.92	12.8	0	0.2	7
792x57	7.92	12.8	0	0.2	7
792x57rifle	7.92	12.8	0	0.2	7
9m14mammo	7.62	9.5	0	0.2	7
9m22kriznarammo	12.7	41.9	0	0.67	7
9m22trnammo	12.7	41.9	0	0.67	7
9m22trnbase	12.7	41.9	0	0.67	7
9m22trnsub	12.7	41.9	0	0.67	7
9m22trnsubwoe	12.7	41.9	0	0.67	7
9m22uammo	12.7	41.9	0	0.67	7
9m32mammo	11.43	14.9	0	0.155	7
9mmjhp	9.0	7.5	0	0.054	7
9x18	9.0	8.0	0.165	0	1
9x18makarovammo	7.62	9.5	0.15	0	1
9x19	9.0	8.0	0.165	0	1
9x19ball	9.017	8.0352	0.165	0	1
9x19sd	9.0	8.0	0.165	0	1
9x21fmj	9.0	8.0	0	0.076	7
agm65bammo	6.5	8.0	0	0.26	7
agm65dammo	6.5	8.0	0	0.26	7
aim9mammo	9.0	8.0	0	0.165	7
aliendrone01soundsdummyammofake	7.62	9.5	0.15	0	1
ammo120mmguided	20.0	100.0	0	0.8	7
ammo120mmhe	20.0	100.0	0	0.8	7
ammo120mmlg	20.0	100.0	0	0.8	7
ammo120mmsmokewhite	20.0	100.0	0	0.8	7
ammoaaagun35mmaa	35.0	380.0	0	1.0	7
ammodetonation250	12.7	41.9	0	0.67	7
ammodetonation500	12.7	41.9	0	0.67	7
ammofighter02gun30mmaa	30.0	350.0	0	0.794	7
ammogun30mmaabase	30.0	350.0	0	0.794	7
ammogun35mmaabase	35.0	380.0	0	1.0	7
ammopenetrator30mm	30.0	235.0	0	0.001	7
ammoshipcannon120mmheclusterrf	20.0	100.0	0	0.8	7
ammotitannlos	40.0	230.0	0	0.2	7
ammotitannlosmanual	40.0	230.0	0	0.2	7
aperstripminewireammo	9.0	8.0	0	0.165	7
b10mmball	10.16	11.7	0	0.165	1
b127x108apds	7.13	27.95	0	1.052	1
b127x108ball	12.7	42.0	0	0.34	7
b127x33ball	12.7	6.12	0	0.129	7
b127x54ball	13.01	48.2	0	0.519	1
b127x55rf	13.01	48.2	0.519	0	1
b127x99apdsbaserf	7.13	27.95	1.052	0	1
b127x99apdstracergreenrf	7.13	27.95	1.052	0	1
b127x99apdstracerredrf	7.13	27.95	1.052	0	1
b127x99apdstraceryellowrf	7.13	27.95	1.052	0	1
b127x99apiplane	12.7	41.9	0	0.67	7
b127x99applane	12.7	41.9	0	0.67	7
b127x99ball	12.954	41.9256	0	0.67	1
b127x99balltracergreen	12.954	41.9256	0	0.67	1
b127x99balltracerred	12.954	41.9256	0	0.67	1
b127x99balltraceryellow	12.954	41.9256	0	0.67	1
b127x99slap	12.954	41.9256	0	0.67	1
b127x99slaptracergreen	12.954	41.9256	0	0.67	1
b127x99slaptracerred	12.954	41.9256	0	0.67	1
b127x99slaptraceryellow	12.954	41.9256	0	0.67	1
b12gaugehdpelletssubmunition	18.5	28.0	0	0.2	7
b12gaugehecartridgelxws	17.5	28.35	0.11	0	1
b12gaugepellets	18.53	28.0	0	0	7
b12gaugepelletscartridgelxws	18.5	28.0	0.04	0	1
b12gaugepelletssubmunition	18.5	28.0	0	0.2	7
b12gaugeslug	18.53	28.0	0	0.055	7
b12gaugeslugcartridgelxws	17.5	28.35	0.11	0	1
b12gaugeslugnocartridge	17.5	28.35	0	0.11	1
b12gaugesmokecartridgelxws	17.5	28.35	0.11	0	1
b12x65no4bucksubmunition	6.5	8.0	0	0.26	7
b12x65pelletssubmunition	6.5	8.0	0	0.26	7
b12x65slug	6.5	8.0	0	0.26	7
b145x114ball	14.5	64.0	0	0.42	1
b19mmhe	19.0	8.0	0	0.526	7
b20mmpylontracerredrf	20.0	100.0	0	0.8	7
b20mmpylontraceryellowrf	20.0	100.0	0	0.8	7
b20mmtracerredrf	20.0	100.0	0	0.8	7
b20mmtraceryellowrf	20.0	100.0	0	0.8	7
b22lrball	5.6	2.6	0	0.125	1
b25acpball	6.35	3.2	0	0.07	1
b25mm	25.0	185.0	0	0.477	7
b25mmgatling	25.0	230.0	0	0.9	7
b25x40mmairburst	40.0	230.0	0	0	1
b25x40mmairburstdeploy	40.0	230.0	0	0	1
b25x40mmautoseek	40.0	230.0	0	0	1
b25x40mmbase	40.0	230.0	0	0	1
b25x40mmhe	40.0	230.0	0	0	1
b25x40mmstick	40.0	230.0	0	0	1
b303ball	7.7	11.3	0	0.244	1
b30carbineball	7.62	7.1	0	0.146	1
b30mmap	30.0	395.0	0	0.945	7
b30mmapfsds	30.0	235.0	0	1.0	7
b30mmapfsdstracergreen	30.0	235.0	0	1.0	7
b30mmapfsdstracerred	30.0	235.0	0	1.0	7
b30mmapfsdstraceryellow	30.0	235.0	0	1.0	7
b30mmaptracergreen	30.0	395.0	0	0.945	7
b30mmaptracerred	30.0	395.0	0	0.945	7
b30mmaptraceryellow	30.0	395.0	0	0.945	7
b30mmhe	30.0	350.0	0	1.0	7
b30mmheab	30.0	350.0	0	1.0	7
b30mmheabgreen	30.0	350.0	0	1.0	7
b30mmheabyellow	30.0	350.0	0	1.0	7
b30mmhedp	30.0	350.0	0	1.0	7
b30mmhedpgreen	30.0	350.0	0	1.0	7
b30mmhedpyellow	30.0	350.0	0	1.0	7
b30mmhetracergreen	30.0	350.0	0	1.0	7
b30mmhetracerred	30.0	350.0	0	1.0	7
b30mmhetraceryellow	30.0	350.0	0	1.0	7
b30mmmp	30.0	350.0	0	1.0	7
b30mmmptracergreen	30.0	350.0	0	1.0	7
b30mmmptracerred	30.0	350.0	0	1.0	7
b30mmmptraceryellow	30.0	350.0	0	1.0	7
b327fedball	7.87	4.5	0	0.13	1
b32acpball	7.65	4.6	0	0.1	1
b32hrball	7.87	5.5	0	0.11	1
b338ball	8.585	16.2	0	0.322	7
b338nmball	8.585	19.44	0	0.381	7
b357magball	9.06	10.2	0	0.155	1
b357sigball	9.0	8.1	0	0.145	1
b35mmaa	35.0	380.0	0	0.857	7
b35mmaatracergreen	35.0	380.0	0	0.857	7
b35mmaatracerred	35.0	380.0	0	0.857	7
b35mmaatraceryellow	35.0	380.0	0	0.857	7
b35mmabm	35.0	340.0	0	0.857	7
b35mmabmtracergreen	35.0	340.0	0	0.857	7
b35mmabmtracerred	35.0	340.0	0	0.857	7
b35mmabmtraceryellow	35.0	340.0	0	0.857	7
b380acpball	9.0	6.1	0	0.14	1
b38splball	9.06	10.2	0	0.135	1
b408ball	10.363	27.1507	0	0.434	7
b40mmapfsds	40.0	475.0	0	1.0	7
b40mmapfsdstracergreen	40.0	475.0	0	1.0	7
b40mmapfsdstracerred	40.0	475.0	0	1.0	7
b40mmapfsdstraceryellow	40.0	475.0	0	1.0	7
b40mmgpr	40.0	210.0	0	0.764	7
b40mmgprtracergreen	40.0	210.0	0	0.764	7
b40mmgprtracerred	40.0	210.0	0	0.764	7
b40mmgprtraceryellow	40.0	210.0	0	0.764	7
b40swball	10.16	11.7	0	0.155	1
b41remball	10.4	13.6	0	0.17	1
b44magball	10.9	15.6	0	0.175	1
b44splball	10.9	15.6	0	0.16	1
b454casullball	11.43	15.6	0	0.185	1
b45acpball	11.43	15.0	0	0.173	1
b45acpballgreen	11.481	14.904	0	0.195	1
b45acpballnocartridge	11.43	14.9	0.155	0	1
b45acpballt	11.43	14.9	0.155	0	1
b45acpballyellow	11.481	14.904	0	0.195	1
b45acpjhp	11.43	12.0	0	0.11	1
b45coltball	11.43	16.2	0	0.17	1
b46x30ball	4.6	2.0	0	0.082	7
b480rugerball	12.1	21.1	0	0.18	1
b500swball	12.7	22.7	0	0.2	1
b50aeball	12.7	19.4	0	0.195	1
b50aeballrf	12.7	41.9	0	0.5	7
b50bwballf	12.7	21.64	0	0.21	1
b50mmapfsds	12.7	41.9	0	0.67	7
b50mmhe	12.7	41.9	0	0.67	7
b545x397n22	5.45	3.69	0	0.174	7
b545x39ball	5.45	3.43	0	0.168	7
b545x39ballf	5.6	3.43	0	0.168	7
b545x39ballgreenf	5.6	3.43	0	0.168	7
b556x45aprf	5.69	4.0176	0	0.151	7
b556x45aptracergreenrf	5.69	4.0176	0	0.151	7
b556x45aptracerredrf	5.69	4.0176	0	0.151	7
b556x45aptraceryellowrf	5.69	4.0176	0	0.151	7
b556x45ball	5.56	4.0	0	0.151	7
b556x45balltracerdim	5.69	4.0176	0	0.151	7
b556x45balltracergreen	5.69	4.0176	0	0.151	7
b556x45balltracerred	5.69	4.0176	0	0.151	7
b556x45balltraceryellow	5.69	4.0176	0	0.151	7
b556x45dual	5.69	4.0176	0	0.151	7
b556x45mk262	5.56	5.0	0	0.197	7
b556x45ss109	5.56	4.0	0	0.158	7
b570x28ball	5.7	2.0	0	0.09	7
b57x28ball	5.7	2.0	0	0.09	7
b580x42ball	5.8	4.45	0	0.17	7
b580x42ballf	6.0	4.15	0	0.156	7
b65x39case	6.706	7.9704	0	0.263	7
b65x39casegreen	6.706	7.9704	0	0.263	7
b65x39caseless	6.5	7.5	0	0.26	7
b65x39caselessgreen	6.706	7.9704	0	0.263	7
b65x39caselessms	6.5	7.0	0	0.245	7
b65x39caselessyellow	6.706	7.9704	0	0.263	7
b65x39caseyellow	6.706	7.9704	0	0.263	7
b65x39miniguncaseless	6.5	8.0	0	0.26	7
b65x39miniguncaselessgreensplash	6.706	7.9704	0	0.263	7
b65x39miniguncaselessredsplash	6.706	7.9704	0	0.263	7
b65x39miniguncaselessyellowsplash	6.706	7.9704	0	0.263	7
b75x5435pap	7.5	9.5	0	0.2	7
b75x5435papnocartridge	7.5	9.5	0	0.2	7
b75x54ball	7.5	9.5	0	0.2	7
b75x54ballnocartridge	7.5	9.5	0	0.2	7
b762x25ball	7.85	5.5	0	0.17	1
b762x33ball	7.62	9.5	0.15	0	1
b762x33ballt	7.62	9.5	0.15	0	1
b762x39ball	7.62	7.97	0	0.148	7
b762x39ballf	7.92	7.97	0	0.275	1
b762x39ballgreenf	7.92	7.97	0	0.275	1
b762x51ball	7.62	9.65	0	0.2	7
b762x51m118lr	7.62	11.34	0	0.243	7
b762x51miniguntracerred	7.62	9.5	0	0.2	7
b762x51miniguntracerredsplash	7.823	9.4608	0	0.2	7
b762x51miniguntraceryellow	7.62	9.5	0	0.2	7
b762x51miniguntraceryellowsplash	7.823	9.4608	0	0.2	7
b762x51tracerdim	7.823	9.4608	0	0.2	7
b762x51tracergreen	7.823	9.4608	0	0.2	7
b762x51tracerred	7.823	9.4608	0	0.2	7
b762x51traceryellow	7.823	9.4608	0	0.2	7
b762x54ball	7.62	9.7	0	0.216	7
b762x54tracergreen	7.925	9.8496	0	0.4	1
b762x54tracerred	7.925	9.8496	0	0.4	1
b762x54traceryellow	7.925	9.8496	0	0.4	1
b762x63ball	7.62	9.5	0.15	0	1
b762x63ballm1	7.62	9.5	0.15	0	1
b762x63ballm1nocartridge	7.62	9.5	0.15	0	1
b762x63ballm2ap	12.7	41.9	0	0.67	7
b762x63ballm2apnocartridge	12.7	41.9	0	0.67	7
b762x63ballnocartridge	7.62	9.5	0.15	0	1
b762x63ballnocartridget	7.62	9.5	0.15	0	1
b762x63ballt	7.62	9.5	0.15	0	1
b765x21ball	7.65	6.0	0	0.1	1
b770x56apmki	7.7	11.3	0	0.2	7
b770x56apmkinocartridge	7.7	11.3	0	0.2	7
b770x56ball	7.7	11.3	0	0.2	7
b770x56ballnocartridge	7.7	11.3	0	0.2	7
b770x56mkviii	7.7	11.3	0	0.2	7
b770x56mkviiinocartridge	7.7	11.3	0	0.2	7
b792x33ball	7.92	12.8	0	0.2	7
b792x33ballt	7.92	12.8	0	0.2	7
b792x57ball	7.92	12.8	0	0.2	7
b792x57ballmg34	7.92	12.8	0	0.2	7
b792x57ballnocartridge	7.92	12.8	0	0.2	7
b792x57ballsme	7.92	12.8	0	0.2	7
b792x57ballsmenocartridge	7.92	12.8	0	0.2	7
b792x57ballsmk	7.92	12.8	0	0.2	7
b792x57ballsmknocartridge	7.92	12.8	0	0.2	7
b792x57ballss	7.92	12.8	0	0.2	7
b792x57ballssnocartridge	7.92	12.8	0	0.2	7
b792x57besa	7.92	12.8	0	0.2	7
b7n6ball	5.45	3.4	0	0.124	7
b8mmball	7.92	12.8	0	0.265	1
b93x64ball	9.3	18.5	0	0.28	7
b9x18ball	9.25	6.1	0	0.14	1
b9x19ball	9.0	8.0	0	0.152	1
b9x19ballcaseless	6.5	8.0	0	0.26	7
b9x19ballrf	9.0	8.0	0.165	0	1
b9x19ballt	9.0	8.0	0.165	0	1
b9x19balltracergreenrf	9.0	8.0	0.165	0	1
b9x19balltracerredrf	9.0	8.0	0.165	0	1
b9x19balltraceryellowrf	9.0	8.0	0.165	0	1
b9x21ball	9.0	8.0	0	0.075	1
b9x21balltracergreen	9.042	7.452	0	0.17	1
b9x21balltracerred	9.042	7.452	0	0.17	1
b9x21balltraceryellow	9.042	7.452	0	0.17	1
b9x39ball	9.0	16.0	0	0.118	7
baseflamethrowerammofake	7.62	9.5	0.15	0	1
baseflamethrowerammofake2	7.62	9.5	0.15	0	1
bb32ball	14.5	60.0	0	0.32	7
bblankround	5.69	4.0176	0	0.151	7
bblankroundcaseless	5.69	4.0176	0	0.151	7
bblankroundfired	5.69	4.0176	0	0.151	7
bblankroundsubammo	5.69	4.0176	0	0.151	7
blapua250grball	8.6	16.2	0	0.296	7
blapua300grball	8.6	19.4	0	0.32	7
bm118lrball	7.62	11.3	0	0.243	7
bm193ball	5.56	3.6	0	0.128	7
bm1ball	7.62	7.1	0	0.144	7
bm33ball	12.7	42.0	0	0.33	7
bm61ball	7.62	9.7	0	0.207	7
bm80ball	7.62	9.5	0	0.2	7
bm855a1ball	5.56	4.0	0	0.153	7
bm855ball	5.56	4.0	0	0.157	7
bm8ball	12.7	40.0	0	0.32	7
bmdlzball	14.5	60.0	0	0.31	7
bmk211ball	12.7	43.0	0	0.34	7
bmk262ball	5.56	4.5	0	0.169	7
bmk316ball	6.5	9.0	0	0.235	7
bmk7ball	7.7	11.3	0	0.21	7
bomb1rnd40mmhelxws	40.0	230.0	0	0	1
bomb1rnd50mmsmokelxws	12.7	41.9	0	0.67	7
bomb1rnd58mmatlxws	7.62	9.5	0.15	0	1
bpsball	7.62	7.9	0	0.182	7
bss109ball	5.56	4.0	0	0.157	7
bssball	7.92	12.8	0	0.222	7
btball	5.45	3.4	0	0.124	7
bullet127x108mmapb32	12.7	41.9	0	0.67	7
bullet127x108mmapitbzt	12.7	41.9	0	0.67	7
bullet127x108mmbase	12.7	41.9	0	0.67	7
bullet127x99mmbase	9.0	8.0	0.165	0	1
bullet127x99mmbm33	9.0	8.0	0.165	0	1
bullet127x99mmbtm17	9.0	8.0	0.165	0	1
bullet12gabase	18.5	28.0	0.04	0	1
bullet12gapelletbase	18.5	28.0	0.04	0	1
bullet12gapelletsubmunition	18.5	28.0	0.04	0	1
bullet12gaslugbase	18.5	28.0	0.04	0	1
bullet145x114mmapb32	11.43	14.9	0.155	0	1
bullet145x114mmapibs41	11.43	14.9	0.155	0	1
bullet145x114mmapitbzt	11.43	14.9	0.155	0	1
bullet145x114mmbase	11.43	14.9	0.155	0	1
bullet145x114mmheitmdz	11.43	14.9	0.155	0	1
bullet20x139mmapdstdm63	9.0	8.0	0.165	0	1
bullet20x139mmaptdm43	5.56	4.0	0.151	0	1
bullet20x139mmbase	9.0	8.0	0.165	0	1
bullet20x139mmheitdm111	9.0	8.0	0.165	0	1
bullet20x139mmheitdm81	9.0	8.0	0.165	0	1
bullet20x139mmhetdm51	9.0	8.0	0.165	0	1
bullet25x137mmapdstm791	0.2	10.0	0	0.2	7
bullet25x137mmapfsdstm919	0.2	10.0	0	0.2	7
bullet25x137mmbase	0.2	10.0	0	0.2	7
bullet25x137mmheitm792	7.62	9.5	0.15	0	1
bullet35x228mmbase	7.62	9.5	0.15	0	1
bullet35x228mmfapdstdm33	7.62	9.5	0.15	0	1
bullet35x228mmheitdm21	12.7	41.9	0	0.67	7
bullet35x228mmhvapdstdm23	12.7	41.9	0	0.67	7
bullet473x33mmbase	4.73	10.0	0	0.2	7
bullet473x33mmbdm11	4.92	3.33	0	0.115	7
bullet473x33mmbtdm21	4.92	3.33	0	0.115	7
bullet545x39mmb7n6	5.588	3.4279	0	0.168	7
bullet545x39mmbase	5.588	3.4279	0	0.168	7
bullet545x39mmbt7t3	5.588	3.2	0	0.168	7
bullet556x45mmbase	5.69	4.0176	0	0.151	7
bullet556x45mmbdm11	5.69	4.1	0	0.151	7
bullet556x45mmbm193	5.69	3.6	0	0.118	7
bullet556x45mmbm855	5.69	4.0176	0	0.151	7
bullet556x45mmbtdm21	5.69	4.0176	0	0.151	7
bullet556x45mmbtm196	5.69	3.5	0	0.118	7
bullet556x45mmbtm856	5.69	4.13	0	0.151	7
bullet762x39mmap7n23	7.92	7.899	0.275	0	1
bullet762x39mmapim43	7.92	7.67	0	0.138	7
bullet762x39mmapitm43	7.92	7.67	0	0.138	7
bullet762x39mmapm43	7.92	7.87	0	0.138	7
bullet762x39mmb57n231	7.92	7.899	0.275	0	1
bullet762x39mmbase	7.62	9.5	0.15	0	1
bullet762x39mmbm43	7.92	7.9703	0	0.138	7
bullet762x39mmbsd57n231u	7.92	12.5	0.275	0	1
bullet762x39mmbt57n231p	7.92	7.5685	0.275	0	1
bullet762x39mmbtm43	7.92	7.97	0	0.138	7
bullet762x51mmapdm151	7.823	9.8	0	0.2	7
bullet762x51mmbase	7.823	9.5254	0	0.2	7
bullet762x51mmbdm111	7.823	9.5254	0	0.2	7
bullet762x51mmbdm41	7.823	9.5254	0	0.2	7
bullet762x51mmbtdm21	7.823	9.2014	0	0.2	7
bullet762x51mmbtdm21a1	7.823	9.2014	0	0.2	7
bullet762x51mmbtdm21a2	7.823	9.2014	0	0.2	7
bullet762x54mmapib32	7.925	10.39	0.401	0	1
bullet762x54mmbase	7.925	9.7976	0.411	0	1
bullet762x54mmblps	7.925	9.6	0.374	0	1
bullet762x54mmbtt46	7.925	9.65	0.395	0	1
bullet762x54mmrap7n1	7.925	9.7976	0.411	0	1
bullet762x54mmrapi7bz3	7.925	10.39	0.401	0	1
bullet762x54mmrb57n323s	7.925	9.6	0.374	0	1
bullet762x54mmrbase	7.925	9.7976	0.411	0	1
bullet762x54mmrbt7t2	7.925	9.65	0.395	0	1
bullet9x18mmbase	9.0	8.0	0.165	0	1
bullet9x18mmbpst	9.27	6.1559	0.135	0	1
bullet9x19mmapdm91	9.017	5.7023	0.165	0	1
bullet9x19mmbase	9.017	8.0352	0.165	0	1
bullet9x19mmbdm11	9.017	8.0352	0.165	0	1
bullet9x19mmbdm51	9.017	8.0352	0.165	0	1
bullet9x19mmbsddm81	9.017	9.5254	0.165	0	1
bulletbase762	7.92	7.97	0.275	0	1
cannon30mmheplanecas02f	30.0	350.0	0	1.0	7
