# source=Extracted from Arma 3 PBO config dumps via SQF/config parser; RHA values calibrated against NIJ 0101.06, NIJ 0108.01
# confidence=Estimated for vanilla items, researched for DLC/CDLC items (see data/armor/standards/ & data/sources/)
# classname	item_type	clothing_category	primary_material	backing_material	thickness_mm	nij_rating	rha_mm	confidence	manufacturer	model	camo
AOR_2_Crye_Tee_Camo	Uniform	uniform	cloth		0.0	N/A	0	0.71	Crye Precision	G3 Combat Uniform	AOR-2
AOR_2_GreySS_Crye_Camo	Uniform	uniform	cloth		0.0	N/A	0	0.71	Crye Precision	G3 Combat Uniform	AOR-2
AOR_2_Grey_Crye_Camo	Uniform	uniform	cloth		0.0	N/A	0	0.71	Crye Precision	G3 Combat Uniform	AOR-2
AOR_2_TCasual_camo	Uniform	uniform	cloth		0.0	N/A	0	0.71	Crye Precision	G3 Combat Uniform	AOR-2
ARD_opscore	Headgear	headwear	cloth		1200.0	N/A	12	0.30	Generic	Ard Opscore	
ARD_opscore_2	Headgear	headwear	cloth		1200.0	N/A	12	0.30	Generic	Ard Opscore 2	
Adams_G4_G_KP_NP	Uniform	uniform	cloth		0.0	N/A	0	0.59	Crye Precision	G4	
Adams_G4_G_KP_P	Uniform	uniform	cloth		0.0	N/A	0	0.59	Crye Precision	G4	
Adams_G4_G_NKP_NP	Uniform	uniform	cloth		0.0	N/A	0	0.59	Crye Precision	G4	
Adams_G4_G_NKP_P	Uniform	uniform	cloth		0.0	N/A	0	0.59	Crye Precision	G4	
Adams_G4_NG_KP_NP	Uniform	uniform	cloth		0.0	N/A	0	0.59	Crye Precision	G4	
Adams_G4_NG_KP_P	Uniform	uniform	cloth		0.0	N/A	0	0.59	Crye Precision	G4	
Adams_G4_NG_NKP_NP	Uniform	uniform	cloth		0.0	N/A	0	0.59	Crye Precision	G4	
Adams_G4_NG_NKP_P	Uniform	uniform	cloth		0.0	N/A	0	0.59	Crye Precision	G4	
Adams_G4_QR_G_KP_NP	Uniform	uniform	cloth		0.0	N/A	0	0.59	Crye Precision	G4	
Adams_G4_QR_G_KP_P	Uniform	uniform	cloth		0.0	N/A	0	0.59	Crye Precision	G4	
Adams_G4_QR_G_NKP_NP	Uniform	uniform	cloth		0.0	N/A	0	0.59	Crye Precision	G4	
Adams_G4_QR_G_NKP_P	Uniform	uniform	cloth		0.0	N/A	0	0.59	Crye Precision	G4	
Adams_G4_QR_NG_KP_NP	Uniform	uniform	cloth		0.0	N/A	0	0.59	Crye Precision	G4	
Adams_G4_QR_NG_KP_P	Uniform	uniform	cloth		0.0	N/A	0	0.59	Crye Precision	G4	
Adams_G4_QR_NG_NKP_NP	Uniform	uniform	cloth		0.0	N/A	0	0.59	Crye Precision	G4	
Adams_G4_QR_NG_NKP_P	Uniform	uniform	cloth		0.0	N/A	0	0.59	Crye Precision	G4	
Adams_G4_R_G_KP_NP	Uniform	uniform	cloth		0.0	N/A	0	0.59	Crye Precision	G4	
Adams_G4_R_G_KP_P	Uniform	uniform	cloth		0.0	N/A	0	0.59	Crye Precision	G4	
Adams_G4_R_G_NKP_NP	Uniform	uniform	cloth		0.0	N/A	0	0.59	Crye Precision	G4	
Adams_G4_R_G_NKP_P	Uniform	uniform	cloth		0.0	N/A	0	0.59	Crye Precision	G4	
Adams_G4_R_NG_KP_NP	Uniform	uniform	cloth		0.0	N/A	0	0.59	Crye Precision	G4	
Adams_G4_R_NG_KP_P	Uniform	uniform	cloth		0.0	N/A	0	0.59	Crye Precision	G4	
Adams_G4_R_NG_NKP_NP	Uniform	uniform	cloth		0.0	N/A	0	0.59	Crye Precision	G4	
Adams_G4_R_NG_NKP_P	Uniform	uniform	cloth		0.0	N/A	0	0.59	Crye Precision	G4	
Alpine_Crye_Camo	Uniform	uniform	cloth		0.0	N/A	0	0.71	Crye Precision	G3 Combat Uniform	
Alpine_Crye_SS_Camo	Uniform	uniform	cloth		0.0	N/A	0	0.71	Crye Precision	G3 Combat Uniform	
Alpine_Massif_Camo	Uniform	uniform	cloth		0.0	N/A	0	0.30	Generic	Alpine Massif	
Alpine_Massif_Camo_SS	Uniform	uniform	cloth		0.0	N/A	0	0.30	Generic	Alpine Massif Camo Ss	
Alpine_white_Crye_SS_camo	Uniform	uniform	cloth		0.0	N/A	0	0.71	Crye Precision	G3 Combat Uniform	White
Alpine_white_Crye_camo	Uniform	uniform	cloth		0.0	N/A	0	0.71	Crye Precision	G3 Combat Uniform	White
Androids_g1android	Uniform	uniform	cloth		0.0	N/A	0	0.30	Generic	Androids G1Android	
Arbo_Vest_1	Vest	plate_carrier	ceramic_sic	uhmwpe	31.4	IV	110	0.50	Generic	Arbo Vest 1	
Arid_Arid_Camo	Uniform	uniform	cloth		0.0	N/A	0	0.71	Crye Precision	G3 Combat Uniform	
Arid_Arid_SS_Camo	Uniform	uniform	cloth		0.0	N/A	0	0.71	Crye Precision	G3 Combat Uniform	
Arid_Boonie	Headgear	headwear	cloth		0.0	N/A	0	0.75	Generic	Boonie Hat	
Arid_Cap	Headgear	cap	cloth		0.0	N/A	0	0.30	Generic	Arid Cap	
Arid_Crye_Camo	Uniform	uniform	cloth		0.0	N/A	0	0.71	Crye Precision	G3 Combat Uniform	
Arid_Crye_SS_Camo	Uniform	uniform	cloth		0.0	N/A	0	0.71	Crye Precision	G3 Combat Uniform	
Arid_Helmet_IA	Headgear	ballistic_helmet	composite_kevlar		70.0	III	42	0.45	Generic	Arid Helmet Ia	
Axe_In_Head	Headgear	headwear	cloth		0.0	N/A	0	0.30	Generic	Axe In Head	
BHD_Protec_helmet	Headgear	headwear	cloth		0.0	N/A	0	0.30	Generic	Bhd Protec Helmet	
BHD_Protec_helmet2	Headgear	headwear	cloth		0.0	N/A	0	0.30	Generic	Bhd Protec Helmet2	
BHD_Protec_helmet3	Headgear	headwear	cloth		0.0	N/A	0	0.30	Generic	Bhd Protec Helmet3	
BHD_TACV1C	Vest	plate_carrier	ceramic_sic	uhmwpe	31.4	IV	110	0.50	Generic	Bhd Tacv1C	
BHD_TACV1C2BK	Vest	plate_carrier	ceramic_sic	uhmwpe	31.4	IV	110	0.50	Generic	Bhd Tacv1C2Bk	
BHD_TACV1C2BK_D	Vest	plate_carrier	ceramic_sic	uhmwpe	31.4	IV	110	0.50	Generic	Bhd Tacv1C2Bk D	
BHD_TACV1C2OD	Vest	plate_carrier	ceramic_sic	uhmwpe	31.4	IV	110	0.50	Generic	Bhd Tacv1C2Od	Olive Drab
BHD_TACV1C2OD_D	Vest	plate_carrier	ceramic_sic	uhmwpe	31.4	IV	110	0.50	Generic	Bhd Tacv1C2Od D	Olive Drab
BHD_TACV1C_D	Vest	plate_carrier	ceramic_sic	uhmwpe	31.4	IV	110	0.50	Generic	Bhd Tacv1C D	
BHD_TACV1D	Vest	plate_carrier	ceramic_sic	uhmwpe	31.4	IV	110	0.50	Generic	Bhd Tacv1D	
BHD_TACV1D2	Vest	plate_carrier	ceramic_sic	uhmwpe	31.4	IV	110	0.50	Generic	Bhd Tacv1D2	
BHD_TACV1D2SS	Vest	plate_carrier	ceramic_sic	uhmwpe	31.4	IV	110	0.50	Generic	Bhd Tacv1D2Ss	
BHD_TACV1D2SS_D	Vest	plate_carrier	ceramic_sic	uhmwpe	31.4	IV	110	0.50	Generic	Bhd Tacv1D2Ss D	
BHD_TACV1D2_D	Vest	plate_carrier	ceramic_sic	uhmwpe	31.4	IV	110	0.50	Generic	Bhd Tacv1D2 D	
BHD_TACV1DSS	Vest	plate_carrier	ceramic_sic	uhmwpe	31.4	IV	110	0.50	Generic	Bhd Tacv1Dss	
BHD_TACV1DSS_D	Vest	plate_carrier	ceramic_sic	uhmwpe	31.4	IV	110	0.50	Generic	Bhd Tacv1Dss D	
BHD_TACV1D_D	Vest	plate_carrier	ceramic_sic	uhmwpe	31.4	IV	110	0.50	Generic	Bhd Tacv1D D	
BLANK_Alpha900_B_MU	Headgear	headwear	ceramic_al2o3	kevlar_liner	44.0	IV	110	0.45	Generic	Blank Alpha900 B Mu	
BLK2_opscore	Headgear	headwear	cloth		1200.0	N/A	12	0.30	Generic	Blk2 Opscore	MultiCam Black
BLK_opscore_2	Headgear	headwear	cloth		1200.0	N/A	12	0.30	Generic	Blk Opscore 2	MultiCam Black
BRM_BattleUNIFLC_ATACSAUX	Uniform	uniform	cloth		0.0	N/A	0	0.30	Generic	Brm Battleuniflc Atacsaux	A-TACS
BRM_BattleUNIFLC_ATACSFGX	Uniform	uniform	cloth		0.0	N/A	0	0.30	Generic	Brm Battleuniflc Atacsfgx	A-TACS
BRM_BattleUNIFLC_DBDU	Uniform	uniform	cloth		0.0	N/A	0	0.30	Generic	Brm Battleuniflc Dbdu	
BRM_BattleUNIFLC_DCU	Uniform	uniform	cloth		0.0	N/A	0	0.30	Generic	Brm Battleuniflc	DCU
BRM_BattleUNIFLC_M81	Uniform	uniform	cloth		0.0	N/A	0	0.30	Generic	Brm Battleuniflc	M81 Woodland
BRM_BattleUNIFLC_M81URB	Uniform	uniform	cloth		0.0	N/A	0	0.30	Generic	Brm Battleuniflc M81Urb	M81 Woodland
BRM_BattleUNIFLC_MARPATD	Uniform	uniform	cloth		0.0	N/A	0	0.30	Generic	Brm Battleuniflc Marpatd	MARPAT Desert
BRM_BattleUNIFLC_MARPATW	Uniform	uniform	cloth		0.0	N/A	0	0.30	Generic	Brm Battleuniflc Marpatw	Woodland
BRM_BattleUNIFLC_MLTCAM	Uniform	uniform	cloth		0.0	N/A	0	0.30	Generic	Brm Battleuniflc Mltcam	MultiCam
BRM_BattleUNIFLC_OCP	Uniform	uniform	cloth		0.0	N/A	0	0.30	Generic	Brm Battleuniflc	OCP (Scorpion W2)
BRM_BattleUNIRS_ATACSAUX	Uniform	uniform	cloth		0.0	N/A	0	0.30	Generic	Brm Battleunirs Atacsaux	A-TACS
BRM_BattleUNIRS_ATACSFGX	Uniform	uniform	cloth		0.0	N/A	0	0.30	Generic	Brm Battleunirs Atacsfgx	A-TACS
BRM_BattleUNIRS_DBDU	Uniform	uniform	cloth		0.0	N/A	0	0.30	Generic	Brm Battleunirs Dbdu	
BRM_BattleUNIRS_DCU	Uniform	uniform	cloth		0.0	N/A	0	0.30	Generic	Brm Battleunirs	DCU
BRM_BattleUNIRS_M81	Uniform	uniform	cloth		0.0	N/A	0	0.30	Generic	Brm Battleunirs	M81 Woodland
BRM_BattleUNIRS_M81URB	Uniform	uniform	cloth		0.0	N/A	0	0.30	Generic	Brm Battleunirs M81Urb	M81 Woodland
BRM_BattleUNIRS_MARPATD	Uniform	uniform	cloth		0.0	N/A	0	0.30	Generic	Brm Battleunirs Marpatd	MARPAT Desert
BRM_BattleUNIRS_MARPATW	Uniform	uniform	cloth		0.0	N/A	0	0.30	Generic	Brm Battleunirs Marpatw	Woodland
BRM_BattleUNIRS_MLTCAM	Uniform	uniform	cloth		0.0	N/A	0	0.30	Generic	Brm Battleunirs Mltcam	MultiCam
BRM_BattleUNIRS_OCP	Uniform	uniform	cloth		0.0	N/A	0	0.30	Generic	Brm Battleunirs	OCP (Scorpion W2)
BRM_BattleUNIT_ATACSAUX	Uniform	uniform	cloth		0.0	N/A	0	0.30	Generic	Brm Battleunit Atacsaux	A-TACS
BRM_BattleUNIT_ATACSFGX	Uniform	uniform	cloth		0.0	N/A	0	0.30	Generic	Brm Battleunit Atacsfgx	A-TACS
BRM_BattleUNIT_DBDU	Uniform	uniform	cloth		0.0	N/A	0	0.30	Generic	Brm Battleunit Dbdu	
BRM_BattleUNIT_DCU	Uniform	uniform	cloth		0.0	N/A	0	0.30	Generic	Brm Battleunit	DCU
BRM_BattleUNIT_M81	Uniform	uniform	cloth		0.0	N/A	0	0.30	Generic	Brm Battleunit	M81 Woodland
BRM_BattleUNIT_M81URB	Uniform	uniform	cloth		0.0	N/A	0	0.30	Generic	Brm Battleunit M81Urb	M81 Woodland
BRM_BattleUNIT_MARPATD	Uniform	uniform	cloth		0.0	N/A	0	0.30	Generic	Brm Battleunit Marpatd	MARPAT Desert
BRM_BattleUNIT_MARPATW	Uniform	uniform	cloth		0.0	N/A	0	0.30	Generic	Brm Battleunit Marpatw	Woodland
BRM_BattleUNIT_MLTCAM	Uniform	uniform	cloth		0.0	N/A	0	0.30	Generic	Brm Battleunit Mltcam	MultiCam
BRM_BattleUNIT_OCP	Uniform	uniform	cloth		0.0	N/A	0	0.30	Generic	Brm Battleunit	OCP (Scorpion W2)
BRM_BattleUNI_ATACSAUX	Uniform	uniform	cloth		0.0	N/A	0	0.30	Generic	Brm Battleuni Atacsaux	A-TACS
BRM_BattleUNI_ATACSFGX	Uniform	uniform	cloth		0.0	N/A	0	0.30	Generic	Brm Battleuni Atacsfgx	A-TACS
BRM_BattleUNI_DBDU	Uniform	uniform	cloth		0.0	N/A	0	0.30	Generic	Brm Battleuni Dbdu	
BRM_BattleUNI_DCU	Uniform	uniform	cloth		0.0	N/A	0	0.30	Generic	Brm Battleuni	DCU
BRM_BattleUNI_M81	Uniform	uniform	cloth		0.0	N/A	0	0.30	Generic	Brm Battleuni	M81 Woodland
BRM_BattleUNI_M81URB	Uniform	uniform	cloth		0.0	N/A	0	0.30	Generic	Brm Battleuni M81Urb	M81 Woodland
BRM_BattleUNI_MARPATD	Uniform	uniform	cloth		0.0	N/A	0	0.30	Generic	Brm Battleuni Marpatd	MARPAT Desert
BRM_BattleUNI_MARPATW	Uniform	uniform	cloth		0.0	N/A	0	0.30	Generic	Brm Battleuni Marpatw	Woodland
BRM_BattleUNI_MLTCAM	Uniform	uniform	cloth		0.0	N/A	0	0.30	Generic	Brm Battleuni Mltcam	MultiCam
BRM_BattleUNI_OCP	Uniform	uniform	cloth		0.0	N/A	0	0.30	Generic	Brm Battleuni	OCP (Scorpion W2)
BRM_ChestrigLite_BLK	Vest	chest_rig	spall_liner		0.0	N/A	0	0.30	Generic	Brm Chestriglite	Black
BRM_Gorka_ATACSAUX	Uniform	uniform	cloth		0.0	N/A	0	0.30	Generic	Brm Gorka Atacsaux	A-TACS
BRM_Gorka_ATACSFGX	Uniform	uniform	cloth		0.0	N/A	0	0.30	Generic	Brm Gorka Atacsfgx	A-TACS
BRM_Gorka_MLTCAM	Uniform	uniform	cloth		0.0	N/A	0	0.30	Generic	Brm Gorka Mltcam	MultiCam
BRM_Gorka_WHITE	Uniform	uniform	cloth		0.0	N/A	0	0.30	Generic	Brm Gorka	White
BRM_vest_CBR	Vest	plate_carrier	ceramic_al2o3	uhmwpe	24.4	III	61	0.45	Generic	Brm Vest Cbr	Coyote Brown
BUDS_Class_230_PT	Uniform	uniform	cloth		0.0	N/A	0	0.30	Generic	Buds Class 230 Pt	White
BUDS_Class_230a_PT	Uniform	uniform	cloth		0.0	N/A	0	0.30	Generic	Buds Class 230A Pt	
BUDS_Instructor_Skivies	Uniform	uniform	cloth		0.0	N/A	0	0.30	Generic	Buds Instructor Skivies	
BUDS_Instructor_Skivies_Hoodie	Uniform	uniform	cloth		0.0	N/A	0	0.30	Generic	Buds Instructor Skivies Hoodie	
BUDS_LARV_01	Vest	armored_vest	composite_kevlar		133.3	IV	80	0.80	Draeger	Rebreather	
BUDS_LARV_02	Vest	armored_vest	composite_kevlar		133.3	IV	80	0.80	Draeger	Rebreather	
BUDS_Vests_AVS	Vest	plate_carrier	ceramic_sic	uhmwpe	31.4	IV	110	0.59	Crye Precision	AVS	
BUDS_Wetsuit_Hood_Uniform	Uniform	wetsuit	cloth		0.0	N/A	0	0.30	Generic	Buds Wetsuit Hood Uniform	
BUDS_Wetsuit_NoHood_Uniform	Uniform	wetsuit	cloth		0.0	N/A	0	0.30	Generic	Buds Wetsuit Nohood Uniform	
Beard_Bas	Headgear	headwear	cloth		0.0	N/A	0	0.30	Generic	Beard Bas	
Beard_Brody	Headgear	headwear	cloth		0.0	N/A	0	0.30	Generic	Beard Brody	
Beard_Slade	Headgear	headwear	cloth		0.0	N/A	0	0.30	Generic	Beard Slade	
Bell_G4_G_KP_NP	Uniform	uniform	cloth		0.0	N/A	0	0.59	Crye Precision	G4	
Bell_G4_G_KP_P	Uniform	uniform	cloth		0.0	N/A	0	0.59	Crye Precision	G4	
Bell_G4_G_NKP_NP	Uniform	uniform	cloth		0.0	N/A	0	0.59	Crye Precision	G4	
Bell_G4_G_NKP_P	Uniform	uniform	cloth		0.0	N/A	0	0.59	Crye Precision	G4	
Bell_G4_NG_KP_NP	Uniform	uniform	cloth		0.0	N/A	0	0.59	Crye Precision	G4	
Bell_G4_NG_KP_P	Uniform	uniform	cloth		0.0	N/A	0	0.59	Crye Precision	G4	
Bell_G4_NG_NKP_NP	Uniform	uniform	cloth		0.0	N/A	0	0.59	Crye Precision	G4	
Bell_G4_NG_NKP_P	Uniform	uniform	cloth		0.0	N/A	0	0.59	Crye Precision	G4	
Bell_G4_QR_G_KP_NP	Uniform	uniform	cloth		0.0	N/A	0	0.59	Crye Precision	G4	
Bell_G4_QR_G_KP_P	Uniform	uniform	cloth		0.0	N/A	0	0.59	Crye Precision	G4	
Bell_G4_QR_G_NKP_NP	Uniform	uniform	cloth		0.0	N/A	0	0.59	Crye Precision	G4	
Bell_G4_QR_G_NKP_P	Uniform	uniform	cloth		0.0	N/A	0	0.59	Crye Precision	G4	
Bell_G4_QR_NG_KP_NP	Uniform	uniform	cloth		0.0	N/A	0	0.59	Crye Precision	G4	
Bell_G4_QR_NG_KP_P	Uniform	uniform	cloth		0.0	N/A	0	0.59	Crye Precision	G4	
Bell_G4_QR_NG_NKP_NP	Uniform	uniform	cloth		0.0	N/A	0	0.59	Crye Precision	G4	
Bell_G4_QR_NG_NKP_P	Uniform	uniform	cloth		0.0	N/A	0	0.59	Crye Precision	G4	
Bell_G4_R_G_KP_NP	Uniform	uniform	cloth		0.0	N/A	0	0.59	Crye Precision	G4	
Bell_G4_R_G_KP_P	Uniform	uniform	cloth		0.0	N/A	0	0.59	Crye Precision	G4	
Bell_G4_R_G_NKP_NP	Uniform	uniform	cloth		0.0	N/A	0	0.59	Crye Precision	G4	
Bell_G4_R_G_NKP_P	Uniform	uniform	cloth		0.0	N/A	0	0.59	Crye Precision	G4	
Bell_G4_R_NG_KP_NP	Uniform	uniform	cloth		0.0	N/A	0	0.59	Crye Precision	G4	
Bell_G4_R_NG_KP_P	Uniform	uniform	cloth		0.0	N/A	0	0.59	Crye Precision	G4	
Bell_G4_R_NG_NKP_NP	Uniform	uniform	cloth		0.0	N/A	0	0.59	Crye Precision	G4	
Bell_G4_R_NG_NKP_P	Uniform	uniform	cloth		0.0	N/A	0	0.59	Crye Precision	G4	
Black_Black_Camo	Uniform	uniform	cloth		0.0	N/A	0	0.71	Crye Precision	G3 Combat Uniform	Black
Black_Black_SS_Camo	Uniform	uniform	cloth		0.0	N/A	0	0.71	Crye Precision	G3 Combat Uniform	Black
Black_Crye_SS_Camo	Uniform	uniform	cloth		0.0	N/A	0	0.71	Crye Precision	G3 Combat Uniform	Black
Boonie_DCU_D	Headgear	headwear	cloth		0.0	N/A	0	0.62	US Army	DCU	DCU
Boonie_DCU_D_X5	Headgear	headwear	cloth		0.0	N/A	0	0.62	US Army	DCU	DCU
Boonie_DCU_U	Headgear	headwear	cloth		0.0	N/A	0	0.62	US Army	DCU	DCU
Boonie_DCU_U_X5	Headgear	headwear	cloth		0.0	N/A	0	0.62	US Army	DCU	DCU
Boonie_MC_D	Headgear	headwear	cloth		0.0	N/A	0	0.75	Generic	Boonie Hat	
Boonie_MC_D_X5	Headgear	headwear	cloth		0.0	N/A	0	0.75	Generic	Boonie Hat	
Boonie_MC_U	Headgear	headwear	cloth		0.0	N/A	0	0.75	Generic	Boonie Hat	
Boonie_MC_U_X5	Headgear	headwear	cloth		0.0	N/A	0	0.75	Generic	Boonie Hat	
Boonie_MPW_D	Headgear	headwear	cloth		0.0	N/A	0	0.75	Generic	Boonie Hat	
Boonie_MPW_D_X5	Headgear	headwear	cloth		0.0	N/A	0	0.75	Generic	Boonie Hat	
Boonie_MPW_U	Headgear	headwear	cloth		0.0	N/A	0	0.75	Generic	Boonie Hat	
Boonie_MPW_U_X5	Headgear	headwear	cloth		0.0	N/A	0	0.75	Generic	Boonie Hat	
Boonie_TS_D	Headgear	headwear	cloth		0.0	N/A	0	0.75	Generic	Boonie Hat	
Boonie_TS_D_X5	Headgear	headwear	cloth		0.0	N/A	0	0.75	Generic	Boonie Hat	
Boonie_TS_U	Headgear	headwear	cloth		0.0	N/A	0	0.75	Generic	Boonie Hat	
Boonie_TS_U_X5	Headgear	headwear	cloth		0.0	N/A	0	0.75	Generic	Boonie Hat	
Burqa1	Uniform	uniform	cloth		0.0	N/A	0	0.30	Generic	Burqa1	
Burqa2	Uniform	uniform	cloth		0.0	N/A	0	0.30	Generic	Burqa2	
Burqa3	Uniform	uniform	cloth		0.0	N/A	0	0.30	Generic	Burqa3	
Burqa4	Uniform	uniform	cloth		0.0	N/A	0	0.30	Generic	Burqa4	
Burqa5	Uniform	uniform	cloth		0.0	N/A	0	0.30	Generic	Burqa5	
Burqa6	Uniform	uniform	cloth		0.0	N/A	0	0.30	Generic	Burqa6	
Bush_DDPM_NS_F	Headgear	headwear	composite_kevlar		0.0	N/A	0	0.40	Generic	Bush Ddpm Ns F	Desert DPM
Bush_DDPM_NS_F_X5	Headgear	headwear	composite_kevlar		0.0	N/A	0	0.40	Generic	Bush Ddpm Ns F X5	Desert DPM
Bush_DDPM_NS_NC	Headgear	headwear	composite_kevlar		0.0	N/A	0	0.40	Generic	Bush Ddpm Ns Nc	Desert DPM
Bush_DDPM_NS_NC_X5	Headgear	headwear	composite_kevlar		0.0	N/A	0	0.40	Generic	Bush Ddpm Ns Nc X5	Desert DPM
Bush_DDPM_NS_R	Headgear	headwear	composite_kevlar		0.0	N/A	0	0.40	Generic	Bush Ddpm Ns R	Desert DPM
Bush_DDPM_NS_R_X5	Headgear	headwear	composite_kevlar		0.0	N/A	0	0.40	Generic	Bush Ddpm Ns R X5	Desert DPM
Bush_DDPM_S_F	Headgear	headwear	composite_kevlar		0.0	N/A	0	0.40	Generic	Bush Ddpm S F	Desert DPM
Bush_DDPM_S_F_X5	Headgear	headwear	composite_kevlar		0.0	N/A	0	0.40	Generic	Bush Ddpm S F X5	Desert DPM
Bush_DDPM_S_NC	Headgear	headwear	composite_kevlar		0.0	N/A	0	0.40	Generic	Bush Ddpm S Nc	Desert DPM
Bush_DDPM_S_NC_X5	Headgear	headwear	composite_kevlar		0.0	N/A	0	0.40	Generic	Bush Ddpm S Nc X5	Desert DPM
Bush_DDPM_S_R	Headgear	headwear	composite_kevlar		0.0	N/A	0	0.40	Generic	Bush Ddpm S R	Desert DPM
Bush_DDPM_S_R_X5	Headgear	headwear	composite_kevlar		0.0	N/A	0	0.40	Generic	Bush Ddpm S R X5	Desert DPM
Bush_DPM_NS_F	Headgear	headwear	composite_kevlar		0.0	N/A	0	0.40	Generic	Bush Dpm Ns F	DPM
Bush_DPM_NS_F_X5	Headgear	headwear	composite_kevlar		0.0	N/A	0	0.40	Generic	Bush Dpm Ns F X5	DPM
Bush_DPM_NS_NC	Headgear	headwear	composite_kevlar		0.0	N/A	0	0.40	Generic	Bush Dpm Ns Nc	DPM
Bush_DPM_NS_NC_X5	Headgear	headwear	composite_kevlar		0.0	N/A	0	0.40	Generic	Bush Dpm Ns Nc X5	DPM
Bush_DPM_NS_R	Headgear	headwear	composite_kevlar		0.0	N/A	0	0.40	Generic	Bush Dpm Ns R	DPM
Bush_DPM_NS_R_X5	Headgear	headwear	composite_kevlar		0.0	N/A	0	0.40	Generic	Bush Dpm Ns R X5	DPM
Bush_DPM_S_F	Headgear	headwear	composite_kevlar		0.0	N/A	0	0.40	Generic	Bush Dpm S F	DPM
Bush_DPM_S_F_X5	Headgear	headwear	composite_kevlar		0.0	N/A	0	0.40	Generic	Bush Dpm S F X5	DPM
Bush_DPM_S_NC	Headgear	headwear	composite_kevlar		0.0	N/A	0	0.40	Generic	Bush Dpm S Nc	DPM
Bush_DPM_S_NC_X5	Headgear	headwear	composite_kevlar		0.0	N/A	0	0.40	Generic	Bush Dpm S Nc X5	DPM
